                  20251209 伟星股份 (002003)
 时间	    价格	    成交	笔数	
09:25	   10.82	     116	22	
09:30	   10.81	       3	2	
09:30	   10.82	     110	18	B	
09:30	   10.81	      35	6	S	
09:30	   10.81	       3	3	S	
09:30	   10.82	      32	15	
09:30	   10.81	      12	5	S	
09:30	   10.81	      22	5	S	
09:30	   10.80	      19	3	S	
09:30	   10.80	      68	10	S	
09:30	   10.80	      27	7	S	
09:30	   10.79	       3	3	S	
09:30	   10.79	      13	3	
09:30	   10.78	      22	5	S	
09:30	   10.78	      14	1	S	
09:30	   10.79	       6	1	B	
09:30	   10.78	       8	1	S	
09:31	   10.78	      54	6	S	
09:31	   10.79	       7	2	B	
09:31	   10.78	      27	5	S	
09:31	   10.78	      18	3	B	
09:31	   10.78	      23	2	B	
09:31	   10.78	      72	10	B	
09:31	   10.79	      21	4	B	
09:31	   10.78	      24	5	B	
09:31	   10.77	      32	9	S	
09:31	   10.79	       2	2	B	
09:31	   10.78	      13	2	S	
09:31	   10.78	      75	10	B	
09:31	   10.78	      24	3	B	
09:31	   10.78	     109	6	B	
09:31	   10.79	      81	15	B	
09:32	   10.79	      55	7	B	
09:32	   10.80	      43	6	B	
09:32	   10.78	      10	10	S	
09:32	   10.81	      11	3	B	
09:32	   10.81	     156	38	B	
09:32	   10.83	      59	17	B	
09:32	   10.85	       1	1	B	
09:32	   10.86	      15	2	B	
09:32	   10.84	      12	1	S	
09:32	   10.85	      10	6	B	
09:32	   10.89	     767	47	B	
09:32	   10.90	     164	18	B	
09:32	   10.90	       6	1	B	
09:32	   10.90	      16	1	B	
09:32	   10.89	       7	3	S	
09:32	   10.89	     129	17	B	
09:33	   10.89	      16	2	B	
09:33	   10.88	      16	7	S	
09:33	   10.88	      24	3	S	
09:33	   10.90	    1041	35	B	
09:33	   10.93	     187	16	B	
09:33	   10.93	     130	24	S	
09:33	   10.95	      47	9	B	
09:33	   10.93	      49	16	S	
09:33	   10.93	      15	3	B	
09:33	   10.93	       7	3	B	
09:33	   10.93	       5	1	B	
09:33	   10.92	      38	10	S	
09:33	   10.92	       6	6	S	
09:33	   10.95	     482	24	B	
09:33	   10.95	      59	5	B	
09:33	   10.96	     493	40	B	
09:33	   10.98	     101	7	B	
09:33	   10.97	      64	12	
09:33	   10.97	      49	9	B	
09:33	   10.97	      38	6	B	
09:34	   10.97	       3	1	B	
09:34	   10.95	      42	5	
09:34	   10.96	      33	4	B	
09:34	   10.95	       2	2	
09:34	   10.94	      10	1	S	
09:34	   10.95	      18	7	B	
09:34	   10.95	      27	7	B	
09:34	   10.95	     182	2	S	
09:34	   10.94	      10	1	S	
09:34	   10.94	      56	5	S	
09:34	   10.94	       2	2	S	
09:34	   10.94	      21	4	S	
09:34	   10.94	       2	1	S	
09:34	   10.94	       1	1	S	
09:34	   10.94	       9	2	S	
09:34	   10.94	      22	6	S	
09:34	   10.95	     260	19	B	
09:35	   10.95	      11	3	B	
09:35	   10.98	    1210	100	B	
09:35	   10.98	      69	11	S	
09:35	   10.99	      47	6	B	
09:35	   10.99	       1	1	B	
09:35	   10.95	      23	9	S	
09:35	   10.96	       8	2	S	
09:35	   10.96	       1	1	S	
09:35	   10.96	      16	4	S	
09:35	   10.96	      32	4	
09:35	   10.95	      18	4	S	
09:35	   10.94	      45	7	S	
09:35	   10.93	      61	9	S	
09:36	   10.94	       6	4	S	
09:36	   10.95	      61	6	B	
09:36	   10.94	       1	1	S	
09:36	   10.95	       5	1	
09:36	   10.95	       6	1	S	
09:36	   10.95	      48	7	S	
09:36	   10.96	      10	4	B	
09:36	   10.94	      77	8	S	
09:36	   10.93	      47	4	S	
09:36	   10.95	       3	1	B	
09:36	   10.95	       1	1	B	
09:36	   10.93	       2	1	S	
09:37	   10.93	      30	4	S	
09:37	   10.93	      57	5	S	
09:37	   10.93	       3	2	
09:37	   10.92	       6	2	S	
09:37	   10.93	      10	1	
09:37	   10.94	      56	5	B	
09:37	   10.92	       1	1	S	
09:37	   10.92	       4	1	S	
09:38	   10.92	      36	8	S	
09:38	   10.92	      16	3	B	
09:38	   10.92	      10	3	S	
09:38	   10.92	      31	9	
09:38	   10.91	      38	7	S	
09:38	   10.91	       3	1	S	
09:38	   10.91	     135	35	S	
09:38	   10.92	       2	1	B	
09:38	   10.92	       2	1	B	
09:38	   10.91	      27	12	S	
09:38	   10.92	       9	1	B	
09:38	   10.92	      14	5	B	
09:38	   10.93	       3	2	B	
09:38	   10.91	      46	3	S	
09:38	   10.91	      10	6	S	
09:39	   10.93	       9	1	B	
09:39	   10.93	       5	1	B	
09:39	   10.93	       3	2	B	
09:39	   10.93	      91	36	B	
09:39	   10.92	       3	1	S	
09:39	   10.93	      13	3	S	
09:39	   10.92	      19	3	S	
09:39	   10.93	      11	1	S	
09:39	   10.93	      11	1	S	
09:39	   10.94	       5	1	B	
09:39	   10.94	       8	1	B	
09:39	   10.93	      10	2	S	
09:40	   10.94	      50	14	B	
09:40	   10.93	      17	6	S	
09:40	   10.94	      20	5	B	
09:40	   10.94	      62	7	B	
09:40	   10.93	      12	3	S	
09:40	   10.96	     476	25	B	
09:40	   10.96	      17	6	B	
09:40	   10.96	      43	4	B	
09:40	   10.96	      25	5	S	
09:40	   10.96	      14	3	B	
09:40	   10.96	      10	1	B	
09:40	   10.95	      11	2	S	
09:40	   10.95	      62	7	S	
09:40	   10.96	       1	1	B	
09:40	   10.95	      17	4	S	
09:40	   10.95	       7	2	S	
09:40	   10.95	      15	5	S	
09:40	   10.94	      13	1	S	
09:41	   10.94	       9	1	B	
09:41	   10.94	      13	3	B	
09:41	   10.94	       2	1	B	
09:41	   10.93	      56	3	S	
09:41	   10.93	      96	7	S	
09:41	   10.93	       9	2	B	
09:41	   10.92	       2	1	S	
09:41	   10.92	       2	2	S	
09:41	   10.93	      32	2	B	
09:42	   10.93	      37	6	B	
09:42	   10.93	      27	1	B	
09:42	   10.93	      17	7	B	
09:42	   10.93	      28	4	B	
09:42	   10.94	       1	1	B	
09:42	   10.93	      15	4	S	
09:42	   10.93	       5	2	S	
09:42	   10.94	       9	1	B	
09:42	   10.93	       1	1	S	
09:42	   10.93	       7	2	S	
09:42	   10.92	      27	5	S	
09:42	   10.93	       1	1	
09:42	   10.93	       1	1	S	
09:43	   10.93	      39	10	S	
09:43	   10.93	       4	2	
09:43	   10.93	      10	1	S	
09:43	   10.94	      12	3	B	
09:43	   10.93	       6	2	S	
09:43	   10.94	      12	4	B	
09:43	   10.92	      34	8	S	
09:43	   10.92	      27	6	S	
09:43	   10.94	       6	1	B	
09:43	   10.93	      21	3	
09:43	   10.92	      20	5	S	
09:43	   10.92	      43	9	S	
09:43	   10.92	      11	1	S	
09:43	   10.92	       5	1	S	
09:44	   10.92	       7	2	S	
09:44	   10.92	      10	4	S	
09:44	   10.93	      16	4	B	
09:44	   10.93	       5	2	B	
09:44	   10.93	     110	8	
09:44	   10.92	      14	4	S	
09:44	   10.92	       7	3	S	
09:44	   10.92	      10	1	S	
09:44	   10.93	      21	2	
09:44	   10.92	      23	2	S	
09:44	   10.94	       6	1	B	
09:44	   10.92	       1	1	S	
09:44	   10.92	      22	4	S	
09:44	   10.94	       6	1	B	
09:45	   10.91	      87	26	S	
09:45	   10.92	       8	3	
09:45	   10.91	      14	5	S	
09:45	   10.91	      11	3	S	
09:45	   10.92	       3	1	S	
09:45	   10.92	      37	4	S	
09:45	   10.92	       2	1	B	
09:45	   10.91	       1	1	S	
09:45	   10.91	      70	13	S	
09:45	   10.92	       9	1	B	
09:46	   10.90	     119	5	S	
09:46	   10.92	       6	2	B	
09:46	   10.92	       6	1	B	
09:46	   10.92	       8	4	B	
09:46	   10.92	      55	11	B	
09:46	   10.93	      10	5	B	
09:46	   10.93	      40	6	B	
09:46	   10.94	       6	3	B	
09:47	   10.94	       9	2	B	
09:47	   10.94	       1	1	B	
09:47	   10.93	      55	5	S	
09:47	   10.93	       8	3	B	
09:48	   10.92	       5	2	S	
09:48	   10.93	      18	11	B	
09:48	   10.93	       5	2	
09:48	   10.93	      33	4	
09:48	   10.93	      15	2	B	
09:48	   10.93	       2	2	B	
09:48	   10.93	      12	1	S	
09:49	   10.93	       2	2	S	
09:49	   10.94	      20	6	B	
09:49	   10.93	      66	8	S	
09:49	   10.93	      10	2	S	
09:50	   10.93	       7	2	B	
09:50	   10.93	      11	3	B	
09:50	   10.93	       5	1	B	
09:50	   10.92	       1	1	S	
09:50	   10.93	      19	2	B	
09:50	   10.92	      16	2	S	
09:50	   10.93	      10	1	B	
09:50	   10.93	      64	10	B	
09:50	   10.93	      76	9	S	
09:51	   10.93	       4	1	B	
09:51	   10.93	       7	2	B	
09:51	   10.92	      18	10	S	
09:51	   10.93	      11	1	B	
09:52	   10.93	       2	1	B	
09:52	   10.92	       1	1	S	
09:52	   10.93	       2	1	B	
09:53	   10.93	      17	4	B	
09:53	   10.93	       4	2	B	
09:53	   10.92	       1	1	S	
09:53	   10.93	      16	6	B	
09:54	   10.93	      11	4	B	
09:54	   10.93	      18	12	B	
09:54	   10.92	       3	4	S	
09:54	   10.93	       1	2	B	
09:54	   10.93	      50	7	B	
09:54	   10.93	       8	3	B	
09:54	   10.94	      95	15	B	
09:54	   10.95	     126	11	B	
09:54	   10.95	     234	21	B	
09:54	   10.97	     235	21	B	
09:54	   10.97	      65	13	B	
