                  20250409 中科美菱 (920992)
 时间	    价格	    成交	笔数	
09:15	   15.80	       0	0	
09:15	   15.96	       0	0	
09:15	   15.10	       0	0	
09:15	   15.10	       0	0	
09:16	   15.10	       0	0	
09:18	   15.22	       0	0	
09:18	   15.23	       0	0	
09:18	   11.20	       0	0	
09:18	   11.33	       0	0	
09:18	   11.33	       0	0	
09:18	   15.23	       0	0	
09:18	   15.23	       0	0	
09:19	   15.24	       0	0	
09:19	   15.80	       0	0	
09:20	   15.80	       0	0	
09:20	   15.80	       0	0	
09:20	   15.80	       0	0	
09:20	   15.80	       0	0	
09:21	   15.80	       0	0	
09:21	   15.80	       0	0	
09:22	   15.80	       0	0	
09:22	   15.80	       0	0	
09:22	   15.80	       0	0	
09:23	   15.80	       0	0	
09:23	   15.80	       0	0	
09:23	   15.80	       0	0	
09:23	   15.80	       0	0	
09:24	   15.80	       0	0	
09:24	   15.80	       0	0	
09:24	   15.80	       0	0	
09:24	   15.80	       0	0	
09:24	   15.80	       0	0	
09:24	   15.80	       0	0	
09:24	   15.80	       0	0	
09:24	   15.70	       0	0	
09:24	   15.70	       0	0	
09:24	   15.70	       0	0	
09:24	   15.70	       0	0	
09:24	   15.69	       0	0	
09:24	   15.69	       0	0	
09:25	   15.60	     600	0	
09:30	   15.25	     865	0	S	
09:30	   15.19	     186	0	S	
09:30	   15.24	     253	0	B	
09:30	   15.29	      13	0	B	
09:30	   15.45	      94	0	B	
09:30	   15.44	      25	0	B	
09:30	   15.45	      10	0	S	
09:30	   15.48	      51	0	B	
09:30	   15.44	      33	0	S	
09:30	   15.44	       2	0	B	
09:30	   15.44	      45	0	B	
09:30	   15.32	      16	0	S	
09:30	   15.44	       8	0	B	
09:30	   15.44	       4	0	B	
09:30	   15.44	      18	0	B	
09:30	   15.45	       4	0	B	
09:30	   15.44	       1	0	S	
09:30	   15.44	      14	0	B	
09:31	   15.34	      16	0	S	
09:31	   15.34	       3	0	S	
09:31	   15.30	      71	0	S	
09:31	   15.31	      15	0	B	
09:31	   15.31	      14	0	S	
09:31	   15.31	      36	0	S	
09:31	   15.30	      90	0	S	
09:31	   15.30	       8	0	B	
09:31	   15.27	      42	0	S	
09:31	   15.25	      98	0	S	
09:31	   15.25	       2	0	B	
09:31	   15.26	      15	0	B	
09:31	   15.26	       6	0	B	
09:31	   15.25	       8	0	S	
09:31	   15.26	      46	0	B	
09:31	   15.25	       2	0	B	
09:31	   15.23	      84	0	S	
09:31	   15.23	      74	0	S	
09:32	   15.25	      41	0	B	
09:32	   15.25	       3	0	B	
09:32	   15.25	       1	0	B	
09:32	   15.20	     100	0	S	
09:32	   15.25	      41	0	B	
09:32	   15.25	     112	0	B	
09:32	   15.25	      73	0	B	
09:32	   15.25	      53	0	B	
09:32	   15.25	      24	0	S	
09:32	   15.26	       9	0	B	
09:32	   15.26	      33	0	S	
09:32	   15.42	      12	0	B	
09:32	   15.42	      10	0	S	
09:32	   15.42	      11	0	B	
09:32	   15.44	      45	0	B	
09:32	   15.44	      38	0	S	
09:32	   15.48	       3	0	B	
09:32	   15.48	      37	0	B	
09:32	   15.48	      25	0	B	
09:32	   15.48	       2	0	B	
09:33	   15.46	      10	0	B	
09:33	   15.48	      49	0	B	
09:33	   15.48	       1	0	B	
09:33	   15.31	     105	0	S	
09:33	   15.42	      14	0	B	
09:33	   15.42	      61	0	S	
09:33	   15.42	       9	0	B	
09:33	   15.42	      95	0	S	
09:33	   15.33	      39	0	S	
09:33	   15.33	       8	0	B	
09:33	   15.33	       9	0	B	
09:33	   15.32	       5	0	S	
09:34	   15.33	      10	0	S	
09:34	   15.33	       5	0	B	
09:34	   15.33	       7	0	B	
09:34	   15.31	       7	0	S	
09:34	   15.31	      11	0	S	
09:34	   15.33	      56	0	B	
09:34	   15.33	      59	0	B	
09:34	   15.25	      57	0	S	
09:34	   15.23	      23	0	B	
09:34	   15.30	      15	0	B	
09:34	   15.25	      37	0	S	
09:34	   15.21	       8	0	S	
09:34	   15.21	       9	0	S	
09:35	   15.25	       5	0	B	
09:35	   15.25	      20	0	B	
09:35	   15.25	       8	0	B	
09:35	   15.25	      46	0	B	
09:35	   15.25	      17	0	B	
09:35	   15.25	      58	0	B	
09:35	   15.25	      21	0	B	
09:35	   15.30	      92	0	B	
09:35	   15.46	     448	0	B	
09:35	   15.46	       7	0	B	
09:35	   15.35	      22	0	S	
09:35	   15.49	      10	0	B	
09:35	   15.49	       8	0	B	
09:35	   15.46	       4	0	S	
09:36	   15.48	     139	0	B	
09:36	   15.26	      26	0	S	
09:36	   15.47	      60	0	B	
09:36	   15.31	     126	0	S	
09:36	   15.30	       5	0	S	
09:36	   15.30	      29	0	S	
09:36	   15.30	      57	0	B	
09:37	   15.30	      39	0	B	
09:37	   15.29	      98	0	S	
09:37	   15.30	      45	0	S	
09:37	   15.30	      29	0	B	
09:37	   15.30	       4	0	B	
09:37	   15.30	      10	0	B	
09:37	   15.30	      66	0	B	
09:37	   15.30	       1	0	S	
09:37	   15.31	      13	0	S	
09:37	   15.45	       3	0	B	
